Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
head_tx_acc_rms,59.26783015835923,231.33992250959446,36.991471987643536,17.261333396390786,47.47924416449129,72.75790920657315,0.004849029801682336,0.2210353724240991,0.3023261500839637
head_tx_acc_mean,0.33099680144870686,1.9942909125139872,0.13152533641511355,0.16489968252384624,0.2818365922329574,1.1880226452984224,0.008010366810875413,0.7426540436109477,0.0637063656739939
head_tx_acc_std,59.26635078237381,231.33146870519954,36.99111072126701,17.26081847373641,47.47739548416558,72.74887455949343,0.004849556467105831,0.22098819759373667,0.30239957711637444
head_ty_vel_rms,2.3860541389940497,2.299116395234513,2.251447108057913,0.9426277584727388,2.5305893662149535,2.098629279227053,0.19715871601015256,0.15502502164435006,0.0010833212205978437
head_ty_vel_mean,-0.0012878416471642936,0.025679690158539867,-0.0009614323289243196,0.012191115698494431,-0.0027497924592596082,0.03369521427364058,0.9694567645502874,0.5385944070683004,0.3966288093839615
head_ty_vel_std,2.386016166295993,2.2990120706314396,2.251413783942561,0.9426281095660569,2.5305267570002896,2.098432737076149,0.19713340610762098,0.1550801738705303,0.0010837639146821232
head_ty_acc_rms,60.00130858048658,82.68741894655064,53.2568794439475,24.26812170430306,61.766564887825794,63.254959304466325,0.04139136885179395,0.8024266285012001,0.006610159810586325
head_ty_acc_mean,-0.05313293649499946,0.32601534403815335,-0.06668865056642688,0.1973435287987798,-0.03283517949678586,0.5083443129044979,0.6736378111089337,0.4143460704254842,0.08757671521636778
head_ty_acc_std,60.00098398100996,82.68699496429335,53.25658574085691,24.267872819622667,61.76592763108324,63.253529581266314,0.04139004375087085,0.8024857215502395,0.006612161624856228
head_scalex_vel_rms,4.29085729089706,17.83752507439946,2.786504414548521,0.9745906114932388,3.512318742211224,4.983737935711416,0.017154156317187863,0.3334762784264762,0.3847922481179019
head_scalex_vel_mean,0.003817710336492079,0.0471180877021364,0.0011304220194847975,0.011325223798208653,0.001712086390046662,0.03722407158528038,0.3414316065335087,0.5174046170094082,0.9508349569448442
head_scalex_vel_std,4.290826551486885,17.837469835553883,2.786481513531193,0.9745896831823441,3.5122808839362714,4.983625329178736,0.017154363166034803,0.3334669103498392,0.3848046215189874
head_scalex_acc_rms,148.56983255077952,681.087120889933,89.03920879199995,32.08257849837501,117.19740492048516,212.5888824668173,0.013650198013700376,0.30021992762056493,0.37898307754202676
head_scalex_acc_mean,-0.8756864227222224,5.133665263511991,-0.45212617389596965,0.33928718546519576,-0.6815822058632753,3.67840893889257,0.06776859659347378,0.5664332919205941,0.4522446714697126
head_scalex_acc_std,148.56588259062462,681.0680720120167,89.0378460452306,32.08137786402851,117.19205102876354,212.55892604713185,0.013651239771228618,0.3001630054896015,0.3790616784554314
head_scaley_vel_rms,4.467698442567451,3.760785260760145,4.281935983044973,1.7132118325943082,4.849152667743092,4.060475468273936,0.36693488372322414,0.015586276058611181,0.00011694640976400716
head_scaley_vel_mean,0.0011521834645859845,0.04167337115797468,0.002850099911894069,0.020648205840574314,0.004564719506148452,0.03484561016933946,0.6183575257449294,0.14600367864686603,0.6134418105499675
head_scaley_vel_std,4.4676426424287845,3.760620578704222,4.281885349936066,1.7132117786425374,4.84909611744479,4.060391217884166,0.36693133657863286,0.0155823556721707,0.00011690056621882494
head_scaley_acc_rms,116.9598454099759,142.50591783349662,105.3719099325142,43.378248480593086,120.83131608625932,106.94565140899019,0.0378897230663664,0.6917790644252553,0.0031693425052837787
head_scaley_acc_mean,-0.0276424051119203,1.437524998221345,0.13714440210482473,0.40168919913054696,-0.029636940152468524,1.338665076869244,0.006638699577422025,0.9992532832567073,0.0059856571256049484
